unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.,text_all
519,The Starry Night,8.0,i feel good looking at this paint because i'm aware of the countless techniques behind this painting which is what makes it so impressive,2.0,4.0,4.0,1.0,5.0,3.0,1000000000.0,living room,"by yourself,family members,friends",winter,chocolate ice cream,"a very somber based soundtrack filled with emotions of nostalgia, sadness and acceptance","i feel good looking at this paint because i'm aware of the countless techniques behind this painting which is what makes it so impressive chocolate ice cream a very somber based soundtrack filled with emotions of nostalgia, sadness and acceptance living room by yourself,family members,friends winter"
520,The Starry Night,6.0,"it feels like i'm staring at the sky while tripping on acid, and i can't look away.",1.0,4.0,5.0,2.0,4.0,3.0,1.0,office,family members,"summer,winter","some kind of mediterranean fig salad, emphasis on the figs.","constant low tone, occasional xylophone hit, violins, no climax.","it feels like i'm staring at the sky while tripping on acid, and i can't look away. some kind of mediterranean fig salad, emphasis on the figs. constant low tone, occasional xylophone hit, violins, no climax. office family members summer,winter"
521,The Starry Night,6.0,"the painting makes me feels disoriented, because of the numerous spiral patterns found in it. the darker background of the painting gives it a depressing tone, which is contrasted by the bright moon in the sky.",4.0,1.0,4.0,4.0,3.0,2.0,0.0,bedroom,by yourself,winter,ratatouille,metal music,"the painting makes me feels disoriented, because of the numerous spiral patterns found in it. the darker background of the painting gives it a depressing tone, which is contrasted by the bright moon in the sky. ratatouille metal music bedroom by yourself winter"
522,The Starry Night,7.0,"this painting makes me feel calm and safe, as the dark sky is lit up and seems to be windy and snowy with the town in the near distance being in for the night and the cooler colors imply winter and that combined with a cold storm night evokes feelings of being a child in a warm blanket, safe and sounds while the storm rages outside.",2.0,4.0,4.0,2.0,5.0,5.0,750.0,"bathroom,bedroom,dining room,living room,office","by yourself,coworkers/classmates,family members,friends,strangers",winter,hot chocolate,"antonio vivaldi - winter (full) - the four seasons the song continues to build and speed up the violins for about half of the song then calms them down to a slower and calmer pace, which is followed by another gradual build up into a final flourish while talking about how the harsh winter provides dire conditions yet we are able to find our own delight in each other, our homes, and in the winter despite its harsh nature.","this painting makes me feel calm and safe, as the dark sky is lit up and seems to be windy and snowy with the town in the near distance being in for the night and the cooler colors imply winter and that combined with a cold storm night evokes feelings of being a child in a warm blanket, safe and sounds while the storm rages outside. hot chocolate antonio vivaldi - winter (full) - the four seasons the song continues to build and speed up the violins for about half of the song then calms them down to a slower and calmer pace, which is followed by another gradual build up into a final flourish while talking about how the harsh winter provides dire conditions yet we are able to find our own delight in each other, our homes, and in the winter despite its harsh nature. bathroom,bedroom,dining room,living room,office by yourself,coworkers/classmates,family members,friends,strangers winter"
523,The Starry Night,4.0,"makes me feel small in a big world, and lonely.",4.0,3.0,4.0,2.0,3.0,3.0,20.0,"living room,office","by yourself,family members,friends,strangers","fall,winter",cake with blueberries and lemon,"upbeat, moderately fast, smooth, and joyful, with slow interludes.","makes me feel small in a big world, and lonely. cake with blueberries and lemon upbeat, moderately fast, smooth, and joyful, with slow interludes. living room,office by yourself,family members,friends,strangers fall,winter"
524,The Starry Night,7.0,i feel the calm and whimsical,4.0,4.0,5.0,1.0,3.0,3.0,5000.0,"bedroom,dining room,living room,office","by yourself,coworkers/classmates,family members,friends,strangers","spring,winter",sushi,"violin and woodwind on a fast, light, bouncy melody.","i feel the calm and whimsical sushi violin and woodwind on a fast, light, bouncy melody. bedroom,dining room,living room,office by yourself,coworkers/classmates,family members,friends,strangers spring,winter"
525,The Starry Night,10.0,gloomy and calm. i would be sitting near my window to look at the sky and it would look like this.,5.0,5.0,5.0,1.0,4.0,10.0,500.0,bedroom,"by yourself,coworkers/classmates,friends,strangers","spring,winter",cold beer,pyramid song by radiohead - makes you rethink and question your life; if it is worth living or not.,"gloomy and calm. i would be sitting near my window to look at the sky and it would look like this. cold beer pyramid song by radiohead - makes you rethink and question your life; if it is worth living or not. bedroom by yourself,coworkers/classmates,friends,strangers spring,winter"
526,The Starry Night,8.0,"because i know the story behind the artwork, it makes me feel a form of dread, just thinking about what the artist went through while painting this.",5.0,2.0,2.0,4.0,2.0,3.0,100.0,"bedroom,living room","friends,strangers",summer,orange,love in the time of socialism by the yellow house. the soundtrack takes us through the thoughts of a man as he imagines various lives he could have had and what he could be destined for.,"because i know the story behind the artwork, it makes me feel a form of dread, just thinking about what the artist went through while painting this. orange love in the time of socialism by the yellow house. the soundtrack takes us through the thoughts of a man as he imagines various lives he could have had and what he could be destined for. bedroom,living room friends,strangers summer"
527,The Starry Night,7.0,"a bit turbulent. the way the night sky is drawn, in a way that makes it appear windy, makes what would otherwise be a serene painting convey feelings of chaos and unrest.",4.0,2.0,2.0,4.0,5.0,3.0,100.0,"dining room,living room",strangers,winter,pea soup,the music would be beautiful with some sadder/ darker undertones. for the most part the music would not be overly complex but every once in a while there would be an unexpected but brilliant change in the music.,"a bit turbulent. the way the night sky is drawn, in a way that makes it appear windy, makes what would otherwise be a serene painting convey feelings of chaos and unrest. pea soup the music would be beautiful with some sadder/ darker undertones. for the most part the music would not be overly complex but every once in a while there would be an unexpected but brilliant change in the music. dining room,living room strangers winter"
528,The Starry Night,4.0,the painting makes me feel calm and easy.,2.0,3.0,5.0,1.0,3.0,0.0,10000.0,dining room,family members,winter,blueberry pie,a calm and soft piano piece.,the painting makes me feel calm and easy. blueberry pie a calm and soft piano piece. dining room family members winter
529,The Starry Night,7.0,"it gives a sense of wonder as it shows a different perspective of the skies above, painting in a way that seems unrealistic but seems like it could be possible, or an idealistic view of the sky, full of wonder and charm.",1.0,4.0,5.0,1.0,4.0,6.0,100.0,"bathroom,bedroom,dining room,living room","by yourself,coworkers/classmates,family members,friends,strangers","fall,winter","some sort of soup or congee as the blurriness of the painting reminds me of mixing sugar with congee and then the sugar getting dissolved into the congee, looking somewhat like the stars in the painting.","quiet, atmospheric music, potentially similar to that of rain drops falling down. something you would listen to the background while working on a dark rainy day/night.","it gives a sense of wonder as it shows a different perspective of the skies above, painting in a way that seems unrealistic but seems like it could be possible, or an idealistic view of the sky, full of wonder and charm. some sort of soup or congee as the blurriness of the painting reminds me of mixing sugar with congee and then the sugar getting dissolved into the congee, looking somewhat like the stars in the painting. quiet, atmospheric music, potentially similar to that of rain drops falling down. something you would listen to the background while working on a dark rainy day/night. bathroom,bedroom,dining room,living room by yourself,coworkers/classmates,family members,friends,strangers fall,winter"
530,The Starry Night,4.0,"neutral, mostly.",2.0,2.0,3.0,2.0,5.0,4.0,200.0,bedroom,by yourself,"summer,winter",oatmeal,acoustic and reverb,"neutral, mostly. oatmeal acoustic and reverb bedroom by yourself summer,winter"
531,The Starry Night,9.0,"cold and windy - like a storm is coming, which would unnecessarily disturb a peaceful little town, but it is beautiful since it seems to know something about death and hope.",3.0,4.0,3.0,2.0,6.0,7.0,40.0,"bedroom,living room,office","by yourself,coworkers/classmates,friends","fall,spring,summer,winter","something cold, like an ice slushy or an iced coffee.","r&b, guitar, soul","cold and windy - like a storm is coming, which would unnecessarily disturb a peaceful little town, but it is beautiful since it seems to know something about death and hope. something cold, like an ice slushy or an iced coffee. r&b, guitar, soul bedroom,living room,office by yourself,coworkers/classmates,friends fall,spring,summer,winter"
532,The Starry Night,5.0,i feel wonder,3.0,4.0,4.0,1.0,3.0,10.0,300.0,"bedroom,living room",by yourself,winter,sugar cookie,triangles and xylophones. lots of twinkling noises,"i feel wonder sugar cookie triangles and xylophones. lots of twinkling noises bedroom,living room by yourself winter"
533,The Starry Night,7.0,"this painting makes me feel unsettled and agitated, due to the juxtaposition between a quiet and uneventful town and the large black spire. this painting elicits a fear of the unknown because of the looming, swirling dark object towering above the town.",4.0,2.0,2.0,4.0,3.0,2.0,1000.0,dining room,strangers,winter,"if this painting was a food, it would be ice cream","the song would be unsettling and jarring, like the discordant soundtrack of a horror movie.","this painting makes me feel unsettled and agitated, due to the juxtaposition between a quiet and uneventful town and the large black spire. this painting elicits a fear of the unknown because of the looming, swirling dark object towering above the town. if this painting was a food, it would be ice cream the song would be unsettling and jarring, like the discordant soundtrack of a horror movie. dining room strangers winter"
534,The Starry Night,9.0,intrigued,2.0,4.0,4.0,2.0,2.0,2.0,20.0,bedroom,by yourself,winter,blue cheesecake,calm and serene,intrigued blue cheesecake calm and serene bedroom by yourself winter
535,The Starry Night,9.5,it makes me feel calm,2.0,4.0,5.0,2.0,5.0,2.0,150.0,"bedroom,dining room,living room","coworkers/classmates,family members,friends,strangers","fall,winter",steak,a soundtrack that is cheerful and pleasant to hear.,"it makes me feel calm steak a soundtrack that is cheerful and pleasant to hear. bedroom,dining room,living room coworkers/classmates,family members,friends,strangers fall,winter"
536,The Starry Night,10.0,"unreal, illusion",5.0,5.0,1.0,5.0,3.0,2.0,1000.0,"living room,office","coworkers/classmates,family members",winter,icecream,dark theme music,"unreal, illusion icecream dark theme music living room,office coworkers/classmates,family members winter"
537,The Starry Night,3.0,neutral,3.0,3.0,4.0,2.0,3.0,3.0,1000.0,"living room,office","family members,friends",winter,blueberry,"ominous, loud, villain","neutral blueberry ominous, loud, villain living room,office family members,friends winter"
538,The Starry Night,5.0,"feel kind of wavy, nothing really in particular.",3.0,3.0,4.0,2.0,2.0,3.0,400.0,living room,"coworkers/classmates,family members,friends",winter,kool aid,"lofi, chill and calm type of soundtrack","feel kind of wavy, nothing really in particular. kool aid lofi, chill and calm type of soundtrack living room coworkers/classmates,family members,friends winter"
539,The Starry Night,7.0,"calm, at ease.",4.0,4.0,4.0,2.0,4.0,3.0,200.0,bedroom,family members,spring,lemonade with blue syrup.,nocturne,"calm, at ease. lemonade with blue syrup. nocturne bedroom family members spring"
540,The Starry Night,9.0,it makes me feel happy and wonder about the stars and the overall landscape of the painting.,2.0,4.0,5.0,2.0,4.0,3.0,600.0,"dining room,living room,office","by yourself,family members,friends","spring,winter",blueberry cheesecake,"a dreamy soundtrack, with instruments such as the piano and/or violin.","it makes me feel happy and wonder about the stars and the overall landscape of the painting. blueberry cheesecake a dreamy soundtrack, with instruments such as the piano and/or violin. dining room,living room,office by yourself,family members,friends spring,winter"
541,The Starry Night,6.0,this painting makes me feel whimsical and curious.,2.0,4.0,4.0,1.0,4.0,4.0,10000000.0,bedroom,friends,winter,hot cocoa,"the soundtrack would be whimsical, like harry potter music","this painting makes me feel whimsical and curious. hot cocoa the soundtrack would be whimsical, like harry potter music bedroom friends winter"
542,The Starry Night,4.0,nice,1.0,3.0,4.0,1.0,3.0,3.0,20.0,bathroom,"by yourself,friends","summer,winter",chocolate chip cookies out of the oven,"eerie, whimsical, slow, harder to hear than it should be","nice chocolate chip cookies out of the oven eerie, whimsical, slow, harder to hear than it should be bathroom by yourself,friends summer,winter"
543,The Starry Night,7.0,"i feel in awe. the world around us is so big. sometimes even what we find alien has been there before us. i feel like i'm in one of those houses. reading a book in this rustic settlement, hoping to one day go out to see the world. perhaps in the day where it won't be so bright.",4.0,3.0,2.0,2.0,5.0,10.0,50.0,"bedroom,living room","by yourself,coworkers/classmates,family members,friends","spring,summer",ice cream,frank sinatra style songs.,"i feel in awe. the world around us is so big. sometimes even what we find alien has been there before us. i feel like i'm in one of those houses. reading a book in this rustic settlement, hoping to one day go out to see the world. perhaps in the day where it won't be so bright. ice cream frank sinatra style songs. bedroom,living room by yourself,coworkers/classmates,family members,friends spring,summer"
544,The Starry Night,10.0,it makes me feel shiny and live in the star sky.,3.0,5.0,5.0,3.0,5.0,14.0,1000000000.0,living room,"by yourself,coworkers/classmates,family members,friends,strangers","fall,summer",stargazy pie,"a fast-paced, energetic, and vibrant song.","it makes me feel shiny and live in the star sky. stargazy pie a fast-paced, energetic, and vibrant song. living room by yourself,coworkers/classmates,family members,friends,strangers fall,summer"
545,The Starry Night,6.0,peaceful and comfortable,2.0,5.0,4.0,3.0,3.0,3.0,100.0,"bedroom,living room",by yourself,"spring,summer",mooncake,"distant murmurs of voices, rich with the vibrancy of life, mingled with faint frog croaks and the tolling of church bells.","peaceful and comfortable mooncake distant murmurs of voices, rich with the vibrancy of life, mingled with faint frog croaks and the tolling of church bells. bedroom,living room by yourself spring,summer"
546,The Starry Night,6.0,it makes me feel happy and wonderous,1.0,4.0,4.0,1.0,3.0,3.0,600.0,"bedroom,living room","by yourself,family members,friends",winter,ice cream,piano music with the faint sound of twinkling stars.,"it makes me feel happy and wonderous ice cream piano music with the faint sound of twinkling stars. bedroom,living room by yourself,family members,friends winter"
547,The Starry Night,4.0,makes me feel excited and hopeful,2.0,5.0,5.0,1.0,4.0,5.0,50.0,bedroom,by yourself,winter,warm soup that makes you feel light,a nice slow and calming melody,makes me feel excited and hopeful warm soup that makes you feel light a nice slow and calming melody bedroom by yourself winter
548,The Starry Night,6.0,calm and relaxed,2.0,4.0,4.0,2.0,4.0,4.0,14.99,"bedroom,dining room,living room","family members,friends","fall,winter",fresh spring rolls,"silent night, holy night by frank sinatra. the track soothes whatever pressure i'm feeling while listening to it. the tempo is slow and the volume is quiet, representing well the scene portrayed by van gogh.","calm and relaxed fresh spring rolls silent night, holy night by frank sinatra. the track soothes whatever pressure i'm feeling while listening to it. the tempo is slow and the volume is quiet, representing well the scene portrayed by van gogh. bedroom,dining room,living room family members,friends fall,winter"
549,The Starry Night,5.0,"make me feel strange, again feels like something takes drug and draw this",4.0,2.0,2.0,4.0,2.0,3.0,100.0,bathroom,"by yourself,friends,strangers","fall,winter",blueberry,dark ambient music,"make me feel strange, again feels like something takes drug and draw this blueberry dark ambient music bathroom by yourself,friends,strangers fall,winter"
550,The Starry Night,7.0,nauseous,2.0,2.0,4.0,4.0,3.0,2.0,67.0,bathroom,by yourself,summer,human toenail,clandestina by emma myers,nauseous human toenail clandestina by emma myers bathroom by yourself summer
551,The Starry Night,5.0,mysterious,4.0,4.0,5.0,4.0,3.0,4.0,0.0,"bedroom,dining room,living room,office","by yourself,family members,friends",winter,vitamin water,like a flowy relaxed song that calms you're ears.,"mysterious vitamin water like a flowy relaxed song that calms you're ears. bedroom,dining room,living room,office by yourself,family members,friends winter"
552,The Starry Night,7.0,a comforting and calming feeling,1.0,5.0,5.0,2.0,3.0,4.0,100.0,bedroom,by yourself,fall,aglio e olio pasta,classic jazz,a comforting and calming feeling aglio e olio pasta classic jazz bedroom by yourself fall
553,The Starry Night,2.0,relaxing,2.0,3.0,5.0,1.0,2.0,2.0,200000.0,dining room,family members,summer,melons,jazz music in coffee shops,relaxing melons jazz music in coffee shops dining room family members summer
554,The Starry Night,2.0,"sad, calm, comforted",3.0,4.0,5.0,2.0,4.0,5.0,500.0,"bedroom,dining room","by yourself,friends,strangers","summer,winter",chocolate lava cake,"slow and soothing, with a melancholy undertone.","sad, calm, comforted chocolate lava cake slow and soothing, with a melancholy undertone. bedroom,dining room by yourself,friends,strangers summer,winter"
555,The Starry Night,7.0,it makes me feel calm and sombre,5.0,4.0,5.0,1.0,3.0,3.0,250.0,"bedroom,living room,office",coworkers/classmates,summer,s'mores,a calm tune that one would listen to prior to going to sleep,"it makes me feel calm and sombre s'mores a calm tune that one would listen to prior to going to sleep bedroom,living room,office coworkers/classmates summer"
556,The Starry Night,4.0,"confused as i don't see anything special about this, not feeling much as the starry sky is represented by swirls which makes it seem confusing",3.0,3.0,3.0,3.0,4.0,4.0,10.0,"bedroom,office","family members,friends",winter,spaghetti,"a piano piece, something like moonlight sonata, slightly romantic but nostalgic.","confused as i don't see anything special about this, not feeling much as the starry sky is represented by swirls which makes it seem confusing spaghetti a piano piece, something like moonlight sonata, slightly romantic but nostalgic. bedroom,office family members,friends winter"
557,The Starry Night,6.0,the painting makes me feel calm and at ease,3.0,5.0,5.0,2.0,2.0,3.0,400.0,living room,by yourself,spring,noodle soup,the soundtrack would be a calm piano piece with strings in the background,the painting makes me feel calm and at ease noodle soup the soundtrack would be a calm piano piece with strings in the background living room by yourself spring
558,The Starry Night,2.0,it makes me feel a bit tight or in a tight place,4.0,2.0,2.0,4.0,3.0,2.0,20.0,bathroom,"by yourself,coworkers/classmates,family members,friends,strangers",winter,drinking water,old tom and jerry show sound,"it makes me feel a bit tight or in a tight place drinking water old tom and jerry show sound bathroom by yourself,coworkers/classmates,family members,friends,strangers winter"
559,The Starry Night,7.0,this painting makes me feel hopeful,4.0,4.0,4.0,4.0,4.0,13.0,15.0,"living room,office",friends,fall,coffee,calm flute soundtrack,"this painting makes me feel hopeful coffee calm flute soundtrack living room,office friends fall"
560,The Starry Night,9.0,"this painting makes me feel quiet, chaos, and mysterious.",3.0,4.0,3.0,3.0,3.0,3.0,,"bathroom,bedroom,dining room,living room,office","by yourself,friends",summer,a dessert from michelin-starred restaurant.,mysterious symphony,"this painting makes me feel quiet, chaos, and mysterious. a dessert from michelin-starred restaurant. mysterious symphony bathroom,bedroom,dining room,living room,office by yourself,friends summer"
561,The Starry Night,5.0,moody and contemplative,4.0,3.0,4.0,1.0,4.0,1.0,10.0,"bedroom,living room","by yourself,coworkers/classmates,family members,friends,strangers",winter,a cup of hot noodles,cold summer by c418,"moody and contemplative a cup of hot noodles cold summer by c418 bedroom,living room by yourself,coworkers/classmates,family members,friends,strangers winter"
562,The Starry Night,8.0,this painting makes me feel very happy and calm. i love the starry night paired with the dark building (i'm assuming) on the side. the stars which are bright and amidst the 'chaos' in the sky is very calming and reflects how there's hope amidst turmoil in life.,2.0,4.0,5.0,1.0,5.0,6.0,80.0,"bedroom,living room,office","by yourself,family members,friends","spring,summer",a nice decedent chocolate fudgy cake,something mellow like jazz with lots of subtle sounds in the background like twinkly lights,"this painting makes me feel very happy and calm. i love the starry night paired with the dark building (i'm assuming) on the side. the stars which are bright and amidst the 'chaos' in the sky is very calming and reflects how there's hope amidst turmoil in life. a nice decedent chocolate fudgy cake something mellow like jazz with lots of subtle sounds in the background like twinkly lights bedroom,living room,office by yourself,family members,friends spring,summer"
222,The Water Lily Pond,,,,,,,,,,,,,,,
223,The Water Lily Pond,,,,,,,,,,,,,,,
224,The Water Lily Pond,,,,,,,,,,,,,,,
225,The Water Lily Pond,,,,,,,,,,,,,,,
226,The Water Lily Pond,,,,,,,,,,,,,,,
227,The Water Lily Pond,,,,,,,,,,,,,,,
228,The Water Lily Pond,6.0,tranquil,1.0,5.0,5.0,1.0,3.0,1.0,25.0,living room,by yourself,"spring,summer",corn flakes,birds chirping,"tranquil corn flakes birds chirping living room by yourself spring,summer"
229,The Water Lily Pond,9.0,"this painting makes me feel joyful and safe, as i feel cushioned by a beautiful and comfortable nature enclosing. the art style and the colours make the setting very pleasing to look at, so much that i am excited to see more of some similar paintings.",1.0,5.0,4.0,1.0,3.0,3.0,500.0,"bedroom,dining room,living room,office","by yourself,coworkers/classmates,family members,friends","spring,summer",watermelon,"the soundtrack for this painting would be high-pitched with medium-tempo. the instruments involved would be piano and flute leading the melody, as well as violin assisting with harmonization. the soundtrack would start off with the soft, quiet sounds from the flute and piano before gradually becoming louder with the violin harmony coming in.","this painting makes me feel joyful and safe, as i feel cushioned by a beautiful and comfortable nature enclosing. the art style and the colours make the setting very pleasing to look at, so much that i am excited to see more of some similar paintings. watermelon the soundtrack for this painting would be high-pitched with medium-tempo. the instruments involved would be piano and flute leading the melody, as well as violin assisting with harmonization. the soundtrack would start off with the soft, quiet sounds from the flute and piano before gradually becoming louder with the violin harmony coming in. bedroom,dining room,living room,office by yourself,coworkers/classmates,family members,friends spring,summer"
230,The Water Lily Pond,5.0,tranquil,2.0,5.0,5.0,1.0,2.0,1.0,40.0,"bathroom,bedroom,dining room,living room,office","by yourself,family members",spring,strawberry,"crickets chirping, water rushing by","tranquil strawberry crickets chirping, water rushing by bathroom,bedroom,dining room,living room,office by yourself,family members spring"
231,The Water Lily Pond,7.0,it makes me feel calm.,3.0,3.0,5.0,2.0,7.0,4.0,100.0,"bathroom,dining room,living room,office","by yourself,coworkers/classmates,family members,friends,strangers",spring,burger,"nature, cricket sounds.","it makes me feel calm. burger nature, cricket sounds. bathroom,dining room,living room,office by yourself,coworkers/classmates,family members,friends,strangers spring"
232,The Water Lily Pond,4.0,"happy, hopeful, free",2.0,4.0,4.0,2.0,2.0,2.0,20.0,bedroom,family members,summer,ice cream,"a chirpy, hopeful melody.","happy, hopeful, free ice cream a chirpy, hopeful melody. bedroom family members summer"
233,The Water Lily Pond,8.0,"this painting makes me feel relaxed, happy, and grateful.",2.0,5.0,5.0,2.0,1.0,1.0,170.0,living room,family members,spring,salad,"the soundtrack is in a upper major scale, has piano and the harp incorporated, and is very peaceful.","this painting makes me feel relaxed, happy, and grateful. salad the soundtrack is in a upper major scale, has piano and the harp incorporated, and is very peaceful. living room family members spring"
234,The Water Lily Pond,8.0,"tranquil and at peace, it feels like im outside and happy, content with my life and enjoying every moment.",1.0,5.0,5.0,1.0,3.0,5.0,6000.0,living room,"coworkers/classmates,family members,friends","spring,summer","a pastry of some kind where its sweet and enveloping, a cake for example",something upbeat and happy mixed like some form of pop song i.e see you again by tyler the creator mixed in with tranquil songs,"tranquil and at peace, it feels like im outside and happy, content with my life and enjoying every moment. a pastry of some kind where its sweet and enveloping, a cake for example something upbeat and happy mixed like some form of pop song i.e see you again by tyler the creator mixed in with tranquil songs living room coworkers/classmates,family members,friends spring,summer"
235,The Water Lily Pond,8.0,eased,2.0,4.0,4.0,1.0,,1.0,30.0,"dining room,living room","family members,friends","spring,summer",sandwhich/sub,some happy classical music,"eased sandwhich/sub some happy classical music dining room,living room family members,friends spring,summer"
236,The Water Lily Pond,8.0,romantic,5.0,5.0,5.0,3.0,2.0,1.0,40.0,"bathroom,bedroom","by yourself,family members,friends",spring,salad,superpowers by daniel caeser,"romantic salad superpowers by daniel caeser bathroom,bedroom by yourself,family members,friends spring"
237,The Water Lily Pond,6.0,"this painting makes me feel relaxed, and calm.",2.0,4.0,5.0,1.0,3.0,4.0,15.0,living room,family members,summer,salad,the sound track for this painting would be of animals running and shouting.,"this painting makes me feel relaxed, and calm. salad the sound track for this painting would be of animals running and shouting. living room family members summer"
238,The Water Lily Pond,8.0,"this painting makes me feel at peace, relaxed, and calm.",1.0,5.0,5.0,1.0,1.0,2.0,100000.0,bedroom,"by yourself,family members,friends,strangers",summer,lemonade,"natural, containing percussion, with light humming, and a guitar.","this painting makes me feel at peace, relaxed, and calm. lemonade natural, containing percussion, with light humming, and a guitar. bedroom by yourself,family members,friends,strangers summer"
239,The Water Lily Pond,8.0,it feels like a garden from a children's storybook. i feel relaxed and want to explore,1.0,5.0,5.0,2.0,1.0,4.0,100.0,bedroom,"by yourself,family members,friends","spring,summer",a chicken salad,"it would be upbeat, hopeful and inspiring curiosity","it feels like a garden from a children's storybook. i feel relaxed and want to explore a chicken salad it would be upbeat, hopeful and inspiring curiosity bedroom by yourself,family members,friends spring,summer"
240,The Water Lily Pond,10.0,peaceful,1.0,5.0,5.0,1.0,3.0,2.0,50.0,"bedroom,dining room,office",family members,spring,cherry,joyful and peaceful,"peaceful cherry joyful and peaceful bedroom,dining room,office family members spring"
241,The Water Lily Pond,9.0,"it makes me feel happy, it makes me feel like life is blooming, good things exist and nature is beautiful. there is beauty in everything",1.0,5.0,5.0,1.0,3.0,3.0,100000.0,"bedroom,dining room,office","by yourself,coworkers/classmates,family members,friends",summer,pasta,what makes you beautiful by one direction,"it makes me feel happy, it makes me feel like life is blooming, good things exist and nature is beautiful. there is beauty in everything pasta what makes you beautiful by one direction bedroom,dining room,office by yourself,coworkers/classmates,family members,friends summer"
242,The Water Lily Pond,10.0,happy,3.0,5.0,4.0,1.0,2.0,3.0,1000.0,"dining room,living room,office","by yourself,coworkers/classmates,family members,friends",summer,salad.,piano but happy tone,"happy salad. piano but happy tone dining room,living room,office by yourself,coworkers/classmates,family members,friends summer"
243,The Water Lily Pond,4.0,it makes me feel calm and at peace,2.0,4.0,4.0,1.0,3.0,3.0,5.0,living room,by yourself,spring,a salad,"happy, energetic music","it makes me feel calm and at peace a salad happy, energetic music living room by yourself spring"
244,The Water Lily Pond,8.0,calm and happy,1.0,5.0,5.0,1.0,2.0,1.0,1000.0,"dining room,living room,office","by yourself,coworkers/classmates,family members,friends",spring,salmon with mashed potatoes,calm music,"calm and happy salmon with mashed potatoes calm music dining room,living room,office by yourself,coworkers/classmates,family members,friends spring"
245,The Water Lily Pond,6.0,peaceful,2.0,4.0,5.0,2.0,4.0,3.0,90.0,"dining room,living room,office","coworkers/classmates,family members,friends","spring,summer",macha,soft piano,"peaceful macha soft piano dining room,living room,office coworkers/classmates,family members,friends spring,summer"
246,The Water Lily Pond,8.0,"happy, relaxed, chill, calm, tranquil, equanimous, peaceful, blissful",1.0,5.0,5.0,1.0,4.0,3.0,55.0,"bedroom,dining room,living room","by yourself,friends","spring,summer",poutine,"chill, chipmunk soul, sunny, warm, major scale, happy, joyful, lo-fi","happy, relaxed, chill, calm, tranquil, equanimous, peaceful, blissful poutine chill, chipmunk soul, sunny, warm, major scale, happy, joyful, lo-fi bedroom,dining room,living room by yourself,friends spring,summer"
247,The Water Lily Pond,4.0,"it made me feel calm and appreciative of nature, the scenery is simple yet beautiful.",2.0,4.0,4.0,2.0,3.0,1.0,15.0,"bedroom,living room","by yourself,coworkers/classmates,family members,friends,strangers",spring,focaccia bread,willow - taylor swift,"it made me feel calm and appreciative of nature, the scenery is simple yet beautiful. focaccia bread willow - taylor swift bedroom,living room by yourself,coworkers/classmates,family members,friends,strangers spring"
248,The Water Lily Pond,7.0,happy,1.0,4.0,4.0,1.0,2.0,2.0,500.0,living room,coworkers/classmates,spring,sushi,relaxing,happy sushi relaxing living room coworkers/classmates spring
249,The Water Lily Pond,5.0,good,1.0,4.0,4.0,1.0,2.0,22.0,20.0,"living room,office","family members,friends","spring,summer",orange,"happy, upbeat song","good orange happy, upbeat song living room,office family members,friends spring,summer"
250,The Water Lily Pond,7.0,"calm , relaxed, warm",1.0,5.0,5.0,1.0,3.0,3.0,4000000.0,"bathroom,bedroom,dining room","by yourself,family members,friends",spring,caesar salad,"bright, major keyed, classical","calm , relaxed, warm caesar salad bright, major keyed, classical bathroom,bedroom,dining room by yourself,family members,friends spring"
251,The Water Lily Pond,8.0,"it makes me feel really happy and calm, it's a very beautiful painting so a little awe inspiring as well.",1.0,5.0,5.0,1.0,6.0,3.0,1000.0,"bedroom,living room","by yourself,friends,strangers",summer,ice cream,"it would be very upbeat, happy, medium paced, and very thoughtful","it makes me feel really happy and calm, it's a very beautiful painting so a little awe inspiring as well. ice cream it would be very upbeat, happy, medium paced, and very thoughtful bedroom,living room by yourself,friends,strangers summer"
252,The Water Lily Pond,,,,,,,,,,,,,,,
253,The Water Lily Pond,,,,,,,,,,,,,,,
254,The Water Lily Pond,,,,,,,,,,,,,,,
255,The Water Lily Pond,,,,,,,,,,,,,,,
256,The Water Lily Pond,,,,,,,,,,,,,,,
257,The Water Lily Pond,,,,,,,,,,,,,,,
258,The Water Lily Pond,,,,,,,,,,,,,,,
259,The Water Lily Pond,,,,,,,,,,,,,,,
260,The Water Lily Pond,,,,,,,,,,,,,,,
261,The Water Lily Pond,,,,,,,,,,,,,,,
262,The Water Lily Pond,,,,,,,,,,,,,,,
263,The Water Lily Pond,7.0,calm and relaxed,2.0,4.0,5.0,1.0,3.0,2.0,30.0,office,friends,spring,sandwich,,calm and relaxed sandwich  office friends spring
264,The Water Lily Pond,,,,,,,,,,,,,,,
265,The Water Lily Pond,,,,,,,,,,,,,salad,,salad
266,The Water Lily Pond,,,,,,,,,,,,,,,
267,The Water Lily Pond,,,,,,,,,,,,,,,
